Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/27/2025,08/28/2025,CENTURYLINK LUMEN,Bills & Utilities,Sale,-40.00,
08/23/2025,08/24/2025,WALMART.COM,Shopping,Sale,-143.24,
08/19/2025,08/20/2025,AMAZON MKTPL*1I2VU0VH3,Shopping,Sale,-16.99,
08/17/2025,08/17/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-12.84,
08/17/2025,08/17/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-3.26,
08/16/2025,08/17/2025,SHEIN.COM,Shopping,Sale,-224.74,
08/15/2025,08/15/2025,Payment Thank You - Web,,Payment,300.00,
08/14/2025,08/15/2025,Blink,Shopping,Sale,-3.00,
08/14/2025,08/14/2025,AUTOMATIC PAYMENT - THANK,,Payment,35.00,
08/08/2025,08/10/2025,APPLECARE MNTHLY PLAN,Shopping,Sale,-2.99,
07/17/2025,07/17/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-19.99,
07/17/2025,07/17/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-0.40,
07/15/2025,07/16/2025,Blink,Shopping,Sale,-3.00,
07/14/2025,07/16/2025,AMAZON MKTPL*5X5VN7G83,Shopping,Sale,-31.49,
07/14/2025,07/16/2025,Amazon.com*NR9D10GD1,Shopping,Sale,-16.95,
07/14/2025,07/16/2025,AMAZON MKTPL*NR0A90GQ1,Shopping,Sale,-14.90,
07/14/2025,07/16/2025,Amazon.com*D70HI0IQ3,Shopping,Sale,-19.54,
07/14/2025,07/16/2025,Amazon.com*248GA2XE3,Shopping,Sale,-8.07,
07/14/2025,07/16/2025,AMAZON MKTPL*NR3OK0G11,Shopping,Sale,-23.74,
07/14/2025,07/16/2025,Amazon.com*RD4GW9R83,Shopping,Sale,-13.17,
07/15/2025,07/15/2025,Payment Thank You - Web,,Payment,350.00,
07/14/2025,07/14/2025,AUTOMATIC PAYMENT - THANK,,Payment,35.00,
07/08/2025,07/09/2025,APPLECARE MNTHLY PLAN,Shopping,Sale,-3.49,
06/17/2025,06/17/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-21.59,
06/14/2025,06/16/2025,Blink,Shopping,Sale,-3.00,
06/13/2025,06/13/2025,AUTOMATIC PAYMENT - THANK,,Payment,35.00,
06/08/2025,06/09/2025,APPLECARE PLAN00026104,Shopping,Sale,-3.49,
05/16/2025,05/16/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-22.11,
05/14/2025,05/15/2025,Blink,Shopping,Sale,-3.00,
05/08/2025,05/09/2025,BESTBUY RENEWA00015784,Shopping,Sale,-3.49,
04/17/2025,05/04/2025,Interest Charge Reversal,Fees & Adjustments,Refund,18.71,
04/18/2025,05/04/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Refund,0.01,
02/17/2025,05/04/2025,Interest Charge Reversal,Fees & Adjustments,Refund,0.59,
02/17/2025,05/04/2025,Interest Charge Reversal,Fees & Adjustments,Refund,13.45,
04/18/2025,05/04/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Refund,0.02,
12/17/2024,05/04/2025,Interest Charge Reversal,Fees & Adjustments,Refund,1.20,
12/17/2024,05/04/2025,Interest Charge Reversal,Fees & Adjustments,Refund,13.04,
04/18/2025,05/04/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Refund,0.02,
01/17/2025,05/04/2025,Interest Charge Reversal,Fees & Adjustments,Refund,1.09,
01/17/2025,05/04/2025,Interest Charge Reversal,Fees & Adjustments,Refund,16.07,
05/01/2025,05/01/2025,Payment Thank You - Web,,Payment,180.00,
04/18/2025,04/20/2025,AMAZON MKTPL*Y744L4533,Shopping,Sale,-31.43,
04/17/2025,04/18/2025,Amazon.com*ZX9B53GM3,Shopping,Sale,-9.76,
04/17/2025,04/18/2025,Amazon.com*MH03L5J33,Shopping,Sale,-24.92,
04/17/2025,04/18/2025,Amazon.com*3U5364YX3,Shopping,Sale,-12.74,
04/17/2025,04/18/2025,Amazon.com*612BX7MM3,Shopping,Sale,-13.91,
04/17/2025,04/18/2025,AMAZON MKTPL*D00TT0343,Shopping,Sale,-199.98,
04/17/2025,04/18/2025,Amazon.com*1O6MI2WG3,Shopping,Sale,-23.96,
04/17/2025,04/18/2025,AMAZON MKTPL*RH8AY0PM3,Shopping,Sale,-23.74,
04/17/2025,04/18/2025,AMAZON MKTPL*8L2ZM56K3,Shopping,Sale,-13.05,
04/17/2025,04/17/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-18.71,
04/14/2025,04/15/2025,Blink,Shopping,Sale,-3.00,
04/14/2025,04/14/2025,AUTOMATIC PAYMENT - THANK,,Payment,35.00,
04/08/2025,04/09/2025,BESTBUY RENEWA00015784,Shopping,Sale,-3.49,
03/17/2025,03/17/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-10.12,
03/14/2025,03/16/2025,Blink,Shopping,Sale,-3.00,
03/13/2025,03/16/2025,WM SUPERCENTER #2243,Groceries,Return,15.88,
03/14/2025,03/14/2025,AUTOMATIC PAYMENT - THANK,,Payment,35.00,
03/13/2025,03/14/2025,WAL-MART #2243     SE2,Groceries,Return,13.88,
03/10/2025,03/11/2025,Amazon.com*KE68Y6NR3,Shopping,Sale,-15.34,
03/07/2025,03/09/2025,ROSS STORE #2367,Shopping,Sale,-56.99,
03/07/2025,03/09/2025,ROSS STORE #2367,Shopping,Return,57.46,
03/07/2025,03/09/2025,ROSS STORE #2367,Shopping,Sale,-57.51,
03/08/2025,03/09/2025,WAL-MART #2243,Groceries,Sale,-29.76,
03/08/2025,03/09/2025,BESTBUYCOM807039234432,Shopping,Sale,-282.49,
03/05/2025,03/09/2025,TOBACCO JOE,Shopping,Sale,-58.98,
03/05/2025,03/07/2025,SAFEWAY #1665,Groceries,Sale,-37.29,
03/04/2025,03/06/2025,SAFEWAY #1665,Groceries,Sale,-19.36,
03/02/2025,03/04/2025,SAFEWAY #1665,Groceries,Sale,-39.80,
03/02/2025,03/03/2025,CHEVRON 0203630,Gas,Sale,-44.73,
02/22/2025,02/23/2025,AMAZON MKTPL*RI8PT7FB3,Shopping,Sale,-18.61,
02/20/2025,02/21/2025,Amazon.com*5P6NW03C3,Shopping,Sale,-6.32,
02/20/2025,02/21/2025,Amazon.com*PQ6D99BP3,Shopping,Sale,-14.44,
02/19/2025,02/20/2025,AMAZON MKTPL*8R2775R73,Shopping,Sale,-18.97,
02/17/2025,02/17/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-13.45,
02/14/2025,02/16/2025,Blink,Shopping,Sale,-3.00,
02/14/2025,02/14/2025,Payment Thank You - Web,,Payment,677.67,
02/11/2025,02/12/2025,AMAZON MKTPL*8W6AF8L63,Shopping,Sale,-22.49,
02/07/2025,02/09/2025,AMAZON MKTPL*Z75TD8HO1,Shopping,Sale,-13.98,
02/07/2025,02/09/2025,Amazon.com*Z713R9HJ1,Shopping,Sale,-14.99,
02/03/2025,02/04/2025,Amazon.com*ZC9531WH1,Shopping,Sale,-18.94,
01/29/2025,01/31/2025,GENTLE DENTAL REDMOND,Health & Wellness,Sale,-81.00,
01/28/2025,01/29/2025,Amazon.com*ZC9NC7P40,Shopping,Sale,-65.99,
01/17/2025,01/17/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-16.07,
01/15/2025,01/15/2025,Payment Thank You - Web,,Payment,200.00,
01/14/2025,01/15/2025,Blink,Shopping,Sale,-3.00,
01/14/2025,01/14/2025,AUTOMATIC PAYMENT - THANK,,Payment,35.00,
01/09/2025,01/09/2025,AMZN Mktp US*ZD4R59V00,Shopping,Sale,-229.98,
